label,frame,source,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
sitting_down,1998,20210804_145925_deepfaked.mp4,307.6836242675781,147.34934997558594,318.98919677734375,138.30609130859375,301.44085693359375,135.920166015625,341.9129638671875,136.67343139648438,297.1202087402344,131.3249969482422,364.527099609375,166.53990173339844,279.458740234375,164.74313354492188,377.81982421875,233.85885620117188,258.14208984375,231.53936767578125,350.1995849609375,270.1819152832031,281.8449401855469,268.5108337402344,351.14764404296875,275.28515625,295.15264892578125,275.04437255859375,366.05084228515625,326.2784729003906,295.0502014160156,332.3967590332031,349.5896911621094,337.0226745605469,301.97808837890625,340.2004699707031
sitting_down,3846,20210804_145925_deepfaked.mp4,307.21820068359375,143.77993774414062,318.38238525390625,134.87493896484375,301.22998046875,132.71725463867188,340.7689514160156,134.37026977539062,296.5146179199219,129.3929443359375,363.9808349609375,169.55807495117188,278.7843933105469,167.4326934814453,376.0486755371094,238.3480682373047,259.87982177734375,233.31265258789062,350.42218017578125,276.20623779296875,269.41943359375,271.251708984375,351.0130615234375,278.9465637207031,294.9510803222656,278.4113464355469,364.24853515625,333.0063171386719,295.36688232421875,338.3643798828125,350.0438537597656,349.4176025390625,301.0293884277344,351.7191162109375
walking,321,16252758-hd_1080_1920_30fps.mp4,131.83905029296875,816.9362182617188,140.1698760986328,807.7769165039062,121.69247436523438,809.702880859375,155.71742248535156,813.3446044921875,112.5761947631836,819.5377807617188,189.5891571044922,874.2537841796875,99.54302215576172,882.7824096679688,210.10574340820312,942.4649658203125,90.9671401977539,955.3609008789062,218.44744873046875,1007.9339599609375,92.01162719726562,1022.8282470703125,180.65199279785156,1002.6597900390625,124.27842712402344,1008.1236572265625,186.82383728027344,1097.7349853515625,135.04507446289062,1101.1812744140625,180.2840576171875,1160.5267333984375,148.62399291992188,1197.7254638671875
sitting_down,2433,20210804_145925_deepfaked.mp4,307.2628173828125,146.72789001464844,319.0327453613281,137.79067993164062,301.2594909667969,134.66397094726562,343.19598388671875,135.20474243164062,297.5225524902344,128.31027221679688,365.4625244140625,166.378662109375,279.2462463378906,163.6650390625,385.0604248046875,234.85989379882812,253.20962524414062,232.134521484375,354.705322265625,269.63006591796875,278.85430908203125,267.9307556152344,350.7640686035156,277.3838806152344,294.1328430175781,276.58380126953125,367.1938781738281,329.1285400390625,292.9750061035156,335.39678955078125,349.1484069824219,338.9316101074219,300.5922546386719,342.72943115234375
drinking_water,1152,19697686-hd_1080_1920_60fps.mp4,500.5543212890625,702.818603515625,550.394287109375,683.8120727539062,527.2264404296875,674.3937377929688,644.463134765625,768.1469116210938,603.5440063476562,734.6585083007812,635.974853515625,1017.35595703125,601.6912231445312,1012.6435546875,288.8765869140625,1045.390380859375,278.6488952636719,1043.5582275390625,190.85971069335938,839.3392333984375,178.98536682128906,859.35009765625,601.4170532226562,1765.23681640625,566.87939453125,1765.38916015625,468.3772888183594,1872.8038330078125,540.3876342773438,1920.0,547.34326171875,1657.263427734375,580.3636474609375,1701.7723388671875
drinking_water,1212,19697686-hd_1080_1920_60fps.mp4,502.1215515136719,696.67626953125,554.6273803710938,678.4428100585938,528.2594604492188,665.5816040039062,648.8200073242188,767.9208984375,597.1687622070312,727.1481323242188,650.550048828125,1021.4713134765625,588.2149658203125,1013.3950805664062,280.4623718261719,1029.6650390625,264.77288818359375,1028.6790771484375,182.85023498535156,812.9163208007812,178.77696228027344,835.6199340820312,612.6325073242188,1766.8524169921875,547.6253662109375,1760.20947265625,482.93243408203125,1834.04150390625,472.4684143066406,1880.996337890625,587.7214965820312,1636.614013671875,508.7709045410156,1665.634765625
sitting_down,4125,20210804_145925_deepfaked.mp4,312.964111328125,149.4561004638672,322.9117431640625,140.11407470703125,306.00543212890625,138.03109741210938,343.91461181640625,134.36553955078125,299.63067626953125,130.45138549804688,365.53009033203125,170.74488830566406,279.7459411621094,167.79525756835938,376.3578186035156,237.1109161376953,236.46017456054688,223.60015869140625,350.2281494140625,276.1362609863281,250.2813262939453,241.9166717529297,348.0721435546875,276.8711242675781,292.8639221191406,275.8437194824219,352.7067565917969,329.6771545410156,287.76251220703125,340.34857177734375,338.71343994140625,349.98974609375,290.8455810546875,354.127685546875
sitting_down,4593,20210804_145925_deepfaked.mp4,307.1703796386719,149.38449096679688,317.54248046875,139.92691040039062,300.3545227050781,138.1379852294922,339.505859375,135.1220703125,294.0793151855469,131.6571044921875,362.8414001464844,171.9906005859375,278.1457214355469,171.47879028320312,374.23687744140625,239.06478881835938,259.47637939453125,235.9530487060547,354.90606689453125,282.3778076171875,254.67800903320312,269.3897705078125,351.2447509765625,278.01556396484375,295.6762390136719,277.8034973144531,365.34539794921875,325.08154296875,295.88348388671875,329.2023010253906,351.4000549316406,340.73919677734375,294.9215087890625,343.65618896484375
sitting_down,5151,20210804_145925_deepfaked.mp4,315.0230712890625,149.25267028808594,325.29937744140625,139.9069061279297,307.19268798828125,138.2985076904297,342.54486083984375,136.9825897216797,297.996337890625,133.52694702148438,364.12078857421875,173.08514404296875,278.2721862792969,173.1142120361328,374.6872253417969,238.75973510742188,257.7789001464844,238.1822052001953,356.69110107421875,280.768310546875,254.25527954101562,269.47998046875,351.93408203125,280.1161193847656,296.309814453125,280.5603332519531,363.6324768066406,334.2028503417969,296.9906311035156,338.78021240234375,350.6976623535156,351.3908386230469,295.9639587402344,355.04437255859375
sitting_down,153,8424998-uhd_2160_3840_24fps.mp4,883.531494140625,1123.5875244140625,1015.52490234375,1021.0391845703125,835.784912109375,994.742431640625,1309.225341796875,1036.5919189453125,797.0836181640625,984.4468383789062,1582.0638427734375,1598.7330322265625,717.6617431640625,1516.981201171875,1660.7652587890625,2546.77783203125,513.5347900390625,2228.183837890625,1160.36572265625,2769.912353515625,249.31658935546875,2197.047607421875,1431.5238037109375,2741.70556640625,785.2350463867188,2689.352783203125,1660.7523193359375,3252.003662109375,218.1610107421875,3242.8564453125,1713.9444580078125,3791.458251953125,521.8035888671875,3840.0
